P2P_Bandwidth_Gbps,DDP_s,LocalAdam_s,DES_LOC_s,FAVG_OPT_s,Neuron_SP_s,ZeROpp_75pct_s,DS_AR_opt_75pct_1.2x_s,DS_MoE_91pct_3.2x_s,LocalSGD_K16_93.8pct_s,SlowMo_K12_91.7pct_s,BytePS_TopK_99.9pct_s,JAX_SPMD_50pct_1.15x_s,Flux_overlap_0pct_1.25x_s
3.760000e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,5.5592e+10,5.5592e+10,2.0013e+10,1.3898e+10,1.8457e+10,2.2259e+08,1.1118e+11,2.2237e+11
3.797100e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,5.5049e+10,5.5049e+10,1.9818e+10,1.3762e+10,1.8276e+10,2.2042e+08,1.1010e+11,2.2019e+11
3.834500e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,5.4512e+10,5.4512e+10,1.9624e+10,1.3628e+10,1.8098e+10,2.1827e+08,1.0902e+11,2.1805e+11
3.872300e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,5.3980e+10,5.3980e+10,1.9433e+10,1.3495e+10,1.7921e+10,2.1614e+08,1.0796e+11,2.1592e+11
3.910500e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,5.3452e+10,5.3452e+10,1.9243e+10,1.3363e+10,1.7746e+10,2.1403e+08,1.0690e+11,2.1381e+11
3.949100e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,5.2930e+10,5.2930e+10,1.9055e+10,1.3233e+10,1.7573e+10,2.1194e+08,1.0586e+11,2.1172e+11
3.988100e-04,2.0218e+11,2.3688e+09,1.1772e+09,1.1879e+09,6.5989e+08,5.2412e+10,5.2412e+10,1.8868e+10,1.3103e+10,1.7401e+10,2.0987e+08,1.0482e+11,2.0965e+11
4.027400e-04,2.0195e+11,2.3662e+09,1.1657e+09,1.1879e+09,6.5342e+08,5.1901e+10,5.1901e+10,1.8684e+10,1.2975e+10,1.7231e+10,2.0782e+08,1.0380e+11,2.0760e+11
4.067200e-04,2.0054e+11,2.3497e+09,1.1657e+09,1.1879e+09,6.5342e+08,5.1393e+10,5.1393e+10,1.8501e+10,1.2848e+10,1.7063e+10,2.0579e+08,1.0279e+11,2.0557e+11
4.107300e-04,1.9914e+11,2.3243e+09,1.1627e+09,1.1699e+09,6.5175e+08,5.0891e+10,5.0891e+10,1.8321e+10,1.2723e+10,1.6896e+10,2.0379e+08,1.0178e+11,2.0356e+11
4.147800e-04,1.9775e+11,2.2919e+09,1.1573e+09,1.1375e+09,6.4871e+08,5.0394e+10,5.0394e+10,1.8142e+10,1.2599e+10,1.6731e+10,2.0180e+08,1.0079e+11,2.0158e+11
4.188700e-04,1.9509e+11,2.2748e+09,1.1519e+09,1.1279e+09,6.4569e+08,4.9902e+10,4.9902e+10,1.7965e+10,1.2476e+10,1.6568e+10,1.9983e+08,9.9804e+10,1.9961e+11
4.230100e-04,1.9237e+11,2.2589e+09,1.1508e+09,1.1175e+09,6.4507e+08,4.9414e+10,4.9414e+10,1.7789e+10,1.2354e+10,1.6406e+10,1.9788e+08,9.8828e+10,1.9766e+11
4.271800e-04,1.8969e+11,2.2431e+09,1.1508e+09,1.1020e+09,6.4507e+08,4.8932e+10,4.8932e+10,1.7615e+10,1.2233e+10,1.6245e+10,1.9595e+08,9.7863e+10,1.9573e+11
4.313900e-04,1.8797e+11,2.2164e+09,1.1329e+09,1.0974e+09,6.3504e+08,4.8454e+10,4.8454e+10,1.7443e+10,1.2114e+10,1.6087e+10,1.9404e+08,9.6908e+10,1.9382e+11
4.356500e-04,1.8666e+11,2.1870e+09,1.0960e+09,1.0960e+09,6.1435e+08,4.7980e+10,4.7980e+10,1.7273e+10,1.1995e+10,1.5930e+10,1.9214e+08,9.5960e+10,1.9192e+11
