step,DDP_ratio,DES_LOC_ratio,Local_Adam_ratio,FAVG_OPT_ratio,Neuron_SP_ratio
1090.0,1.000000,1.313873,1.091186,1.240665,0.950891
1100.0,1.000000,1.309811,1.089763,1.238942,0.947433
1110.0,1.000000,1.301384,1.085811,1.233499,0.943993
1120.0,1.000000,1.293041,1.081899,1.228107,0.939803
1130.0,1.000000,1.282089,1.219093,1.230323,0.947321
1140.0,1.000000,1.270996,1.369845,1.233339,0.937120
1150.0,1.000000,1.263491,1.490759,1.237287,0.929684
1160.0,1.000000,1.269803,1.500267,1.245178,0.913514
1170.0,1.000000,1.276200,1.509899,1.253173,0.912280
1180.0,1.000000,1.279533,1.515930,1.254538,0.918012
1190.0,1.000000,1.279745,1.518274,1.249185,0.922880
1200.0,1.000000,1.279958,1.520625,1.243817,0.930733
1210.0,1.000000,1.281723,1.397598,1.233582,0.931779
1220.0,1.000000,1.283886,1.242575,1.222087,0.929555
1230.0,1.000000,1.286065,1.116268,1.212616,0.923213
1240.0,1.000000,1.288270,1.107432,1.211420,0.918903
1250.0,1.000000,1.290483,1.098568,1.210222,0.925618
1260.0,1.000000,1.300385,1.101224,1.217471,0.932163
1270.0,1.000000,1.318319,1.115703,1.233478,0.963774
1280.0,1.000000,1.336733,1.130569,1.249914,0.980137
1290.0,1.000000,1.341179,1.226907,1.253252,0.984261
1300.0,1.000000,1.342063,1.343557,1.253252,0.961256
1310.0,1.000000,1.345553,1.440425,1.255850,0.958914
1320.0,1.000000,1.359646,1.458380,1.269003,0.967406
1330.0,1.000000,1.374037,1.476715,1.282435,0.980799
1340.0,1.000000,1.383079,1.490409,1.292158,0.984461
1350.0,1.000000,1.386565,1.499213,1.297994,0.979730
1360.0,1.000000,1.390074,1.508074,1.303867,0.974135
1370.0,1.000000,1.391904,1.523784,1.320225,0.969157
1380.0,1.000000,1.393316,1.541235,1.339237,0.972053
1390.0,1.000000,1.393224,1.557890,1.359778,0.979243
1400.0,1.000000,1.379578,1.567074,1.393761,0.978151
1410.0,1.000000,1.365932,1.576259,1.427744,0.976187
1420.0,1.000000,1.352287,1.482677,1.449157,0.970802
1430.0,1.000000,1.338641,1.286332,1.458002,0.971791
1440.0,1.000000,1.324995,1.089986,1.466846,0.978615
1450.0,1.000000,1.313270,1.061703,1.465806,0.984388
1460.0,1.000000,1.301987,1.075480,1.462281,0.981091
1470.0,1.000000,1.291222,1.088195,1.459168,0.974785
1480.0,1.000000,1.285451,1.090941,1.459885,0.978264
1490.0,1.000000,1.279605,1.093719,1.460610,0.983739
1500.0,1.000000,1.270430,1.095311,1.460475,0.993781
1510.0,1.000000,1.257955,1.095688,1.459468,0.988600
1520.0,1.000000,1.245452,1.096067,1.458463,0.990188
1530.0,1.000000,1.242683,1.094461,1.457952,0.980648
1540.0,1.000000,1.242351,1.092357,1.457563,0.985511
1550.0,1.000000,1.241326,1.090610,1.456171,0.984524
1560.0,1.000000,1.234100,1.092046,1.445825,0.979445
1570.0,1.000000,1.226957,1.093467,1.435600,0.968482
1580.0,1.000000,1.243932,1.095450,1.430085,0.963243
1590.0,1.000000,1.284963,1.098008,1.429193,0.964093
1600.0,1.000000,1.325993,1.100563,1.428301,0.972122
1610.0,1.000000,1.333245,1.108346,1.405711,0.974501
1620.0,1.000000,1.332058,1.117422,1.377742,0.968969
1630.0,1.000000,1.331308,1.145915,1.350356,0.956229
1640.0,1.000000,1.334466,1.349811,1.327686,0.949953
1650.0,1.000000,1.337639,1.554678,1.304910,0.948648
1660.0,1.000000,1.342551,1.681824,1.296134,0.947279
1670.0,1.000000,1.350114,1.691298,1.308592,0.947982
1680.0,1.000000,1.357760,1.700877,1.321186,0.951422
1690.0,1.000000,1.376603,1.723559,1.340959,0.961912
1700.0,1.000000,1.398833,1.750222,1.363105,0.977698
1710.0,1.000000,1.419437,1.752676,1.381358,0.984752
1720.0,1.000000,1.419437,1.530075,1.358625,0.982340
